,Dishes,sum_Energy,sum_Protein,sum_TotalFat,sum_SaturatedFat,sum_TransFat,sum_Carbohydrate,sum_Sugars,sum_Sodium,Types
669,"Chicken_Caesar_Salad,Peking_Duck_Cold_Wrap,Smoked_Salmon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",670,49.400000000000006,29.2,5.4,0,52.400000000000006,7.8999999999999995,1896,"Meat,Salad,Sandwich,Wrap"
670,"Chicken_Caesar_Salad,Peking_Duck_Cold_Wrap,Herbs_Chicken_Breast,Chef_Salad",584,46.5,27.4,4.6,0,37.7,7.8999999999999995,1768,"Meat,Salad,Wrap"
671,"Caesar_Chicken_Cold_Wrap,Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Herbs_Chicken_Breast,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",1128,75.9,49.5,7.0,0,94.80000000000001,7.8,2069,"Meat,Wrap"
672,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Bacon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",1064,64.4,52.7,8.3,0,83.10000000000001,8.5,2057,"Meat,Sandwich,Wrap"
673,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Ham_Cheese_&_Pickle_Sandwich,Herbs_Chicken_Breast,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",1008,63.7,45.1,6.7,0,86.9,9.3,2116,"Meat,Sandwich,Wrap"
674,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Super_Club_Sandwich,Herbs_Chicken_Breast,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",976,62.60000000000001,43.5,5.9,0,83.7,8.0,1963,"Meat,Sandwich,Wrap"
675,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Smoked_Salmon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",1034,64.9,47.2,5.9,0,87.4,6.9,2037,"Meat,Sandwich,Wrap"
676,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Chef_Salad,Herbs_Chicken_Breast,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",948,62.00000000000001,45.400000000000006,5.1,0,72.7,6.9,1909,"Meat,Salad,Wrap"
677,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Chicken_Caesar_Salad,Herbs_Chicken_Breast,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",937,64.4,44.6,5.1,0,69.60000000000001,7.5,1896,"Meat,Salad,Wrap"
678,"Caesar_Chicken_Cold_Wrap,Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Bacon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",934,64.1,44.400000000000006,9.3,0,69.5,6.5,1857,"Meat,Sandwich,Wrap"
679,"Caesar_Chicken_Cold_Wrap,Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Ham_Cheese_&_Pickle_Sandwich,Herbs_Chicken_Breast",878,63.400000000000006,36.8,7.7,0,73.3,7.3,1916,"Meat,Sandwich,Wrap"
680,"Caesar_Chicken_Cold_Wrap,Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Super_Club_Sandwich,Herbs_Chicken_Breast",846,62.300000000000004,35.2,6.9,0,70.1,6.0,1763,"Meat,Sandwich,Wrap"
681,"Caesar_Chicken_Cold_Wrap,Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Smoked_Salmon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",904,64.6,38.9,6.9,0,73.8,4.9,1837,"Meat,Sandwich,Wrap"
682,"Caesar_Chicken_Cold_Wrap,Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Chef_Salad,Herbs_Chicken_Breast",818,61.7,37.1,6.1,0,59.099999999999994,4.9,1709,"Meat,Salad,Wrap"
683,"Caesar_Chicken_Cold_Wrap,Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Herbs_Chicken_Breast,Chicken_Caesar_Salad",807,64.1,36.3,6.1,0,56.0,5.5,1696,"Meat,Salad,Wrap"
684,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Ham_Cheese_&_Pickle_Sandwich,Bacon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",814,51.900000000000006,40.0,9.0,0,61.6,8.0,1904,"Meat,Sandwich,Wrap"
685,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Bacon_&_Egg_Mayo_Sandwich,Super_Club_Sandwich,Herbs_Chicken_Breast",782,50.800000000000004,38.4,8.2,0,58.400000000000006,6.7,1751,"Meat,Sandwich,Wrap"
686,"Smoked_Salmon_&_Egg_Mayo_Sandwich,Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Bacon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",840,53.1,42.1,8.2,0,62.1,5.6,1825,"Meat,Sandwich,Wrap"
687,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Chef_Salad,Bacon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",754,50.2,40.3,7.4,0,47.4,5.6,1697,"Meat,Salad,Sandwich,Wrap"
688,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Bacon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast,Chicken_Caesar_Salad",743,52.6,39.5,7.4,0,44.300000000000004,6.2,1684,"Meat,Salad,Sandwich,Wrap"
689,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Ham_Cheese_&_Pickle_Sandwich,Super_Club_Sandwich,Herbs_Chicken_Breast",726,50.10000000000001,30.799999999999997,6.6,0,62.2,7.5,1810,"Meat,Sandwich,Wrap"
690,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Ham_Cheese_&_Pickle_Sandwich,Smoked_Salmon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",784,52.400000000000006,34.5,6.6,0,65.9,6.4,1884,"Meat,Sandwich,Wrap"
